id,title,content,type,is_vignette,is_random,created_at,updated_at
4,Titanium,,multiple-choice,0,1,2017-07-09 21:50:36,2018-07-09 23:39:57
6,Tendon considered an anisotropic,,multiple-choice,0,0,2017-07-09 22:16:42,2018-07-09 23:40:16
7,Spinal shock,,multiple-choice,0,0,2017-07-09 22:21:07,2017-07-09 22:21:12
8,Bone morphogenic protein,,multiple-choice,0,1,2017-07-09 22:23:26,2017-12-27 23:47:34
9,Examination of an obese 3-year-old-girl,,multiple-choice,0,0,2017-07-09 22:25:18,2017-07-09 22:25:18
10,Immobilization of human tendons,,multiple-choice,0,1,2017-07-09 22:27:17,2018-07-09 23:42:01
11,"A 12,5 year-old-boy reports intermittent knee pain and limping",,multiple-choice,0,0,2017-07-09 22:36:26,2017-07-09 22:36:26
12,The figure above shows the radiograph of a 2-year-old child,,multiple-choice,0,0,2017-07-09 22:39:55,2017-07-09 22:39:55
13,A 6-year-old boy with acute hematogenous osteomyelitis,,multiple-choice,0,1,2017-07-09 23:01:03,2018-07-09 23:40:40
14,A nonambulatory verbal 6-year-old child,,multiple-choice,0,1,2017-07-09 23:02:43,2017-12-27 23:48:21
15,A 37-year-old man pulled his hamstring,,multiple-choice,0,0,2017-07-09 23:06:39,2018-07-09 23:42:09
16,"A 13-year-old boy has a painless ""knot""",,multiple-choice,0,0,2017-07-09 23:10:50,2018-07-14 08:01:35
17,A 17-year-old girl who initially presented during childhood with multiple skeletal lesion,,multiple-choice,0,1,2017-07-09 23:14:48,2017-12-27 23:48:07
18,the four most common soft-tissue sarcomas,,multiple-choice,0,1,2017-07-09 23:17:16,2017-12-27 23:46:57
19,A 13-year-old boy has knee pain after sustaining a mild twisting injury,,multiple-choice,0,1,2017-07-09 23:18:56,2017-12-27 23:49:18
20,A 64-year-old man has had increasing pain in the left hip for the past 6 months,,multiple-choice,0,0,2017-07-09 23:25:38,2017-07-09 23:25:38
21,Radiograph and MRI scan of a 22-year-old man,,multiple-choice,0,1,2017-07-09 23:39:10,2018-07-14 08:01:45
22,Local recurrence of the lesion,,multiple-choice,0,1,2017-07-09 23:42:41,2017-12-27 23:49:45
23,A 33-year-old woman reports a mass,,multiple-choice,0,0,2017-07-09 23:46:17,2017-07-09 23:46:17
24,A 15-year-old girl had a painful mass,,multiple-choice,0,0,2017-07-09 23:51:00,2018-07-09 23:42:48
25,In patients with displaced radial neck fractures,,multiple-choice,0,0,2017-07-09 23:53:25,2018-07-09 23:42:40
26,When harvesting an iliac crest bone graft,,multiple-choice,0,0,2017-07-09 23:54:50,2017-07-09 23:54:50
27,A 36-year-old woman sustained a tarsometatarsal j,,multiple-choice,0,0,2017-07-09 23:56:04,2017-07-09 23:56:04
28,What is the most appropriate indication for replantation,,multiple-choice,0,1,2017-07-09 23:57:46,2017-12-27 23:49:00
29,A 46-year-old man fell 20 feet and sustained the injury,,multiple-choice,0,1,2017-07-09 23:59:18,2017-12-27 23:56:01
30,A 20-year-old man sustained,,multiple-choice,0,1,2017-07-10 00:01:04,2018-07-09 23:42:55
31,An active 49-year-old woman who sustained,,multiple-choice,0,0,2017-07-10 00:02:23,2017-07-10 00:02:23
32,Examination of a 25-year-old man who was injured,,multiple-choice,0,1,2017-07-10 00:03:48,2017-12-27 23:49:32
33,Figures above shown the initial radiograph of an 18-year-old man,,multiple-choice,0,0,2017-07-10 00:05:24,2017-12-27 23:55:48
34,Which is the following is an advantage of un-reamed nailing,,multiple-choice,0,1,2017-07-10 00:08:42,2017-12-27 23:45:39
35,What is the major difference in outcome,,multiple-choice,0,1,2017-07-10 00:10:05,2017-12-27 23:50:45
36,The figure above shows the radiograph pf an elderly man,,multiple-choice,0,0,2017-07-10 00:11:52,2017-07-10 00:11:52
37,What measure of physiologic status,,multiple-choice,0,0,2017-07-10 00:33:05,2017-07-10 00:33:05
38,An adult with distal humeral fracture,,multiple-choice,0,1,2017-07-10 00:35:38,2017-12-27 23:44:58
39,A 35-year-old man is brought to the emergency department,,multiple-choice,0,1,2017-07-10 00:37:33,2017-12-27 23:44:39
40,A 42-year-old woman sustained,,multiple-choice,0,0,2017-07-10 00:39:37,2017-07-10 00:39:37
41,A 25-year-old man is brought to the emergency department,,multiple-choice,0,0,2017-07-10 00:41:38,2017-07-10 00:41:38
42,A 9-year-old child sustains a proximal tibial physeal fracture,,multiple-choice,0,1,2017-07-10 00:43:08,2017-12-27 23:45:10
43,An 8-year-old girl has treated for a Salter-harris,,multiple-choice,0,0,2017-07-10 00:44:41,2017-07-10 00:44:41
44,Late surgical treatment of posttraumatic,,multiple-choice,0,1,2017-07-10 00:47:48,2017-12-27 23:50:56
45,In obstetric brachial plexus palsy,,multiple-choice,0,0,2017-07-10 00:49:33,2017-07-10 00:49:33
46,Split posterior tibial tendon,,multiple-choice,0,0,2017-07-10 00:51:00,2017-12-27 23:44:09
47,A 72-year-old male is complaining of dull pain,,multiple-choice,0,0,2017-07-10 00:52:23,2017-07-10 00:52:23
48,A 3-year-old boy was brought by his mother with the concern of tilting neck,,multiple-choice,0,1,2017-07-10 00:53:50,2017-12-27 23:43:46
49,An overweight  74-year-old lady is complaining about low back pain,,multiple-choice,0,0,2017-07-10 00:55:10,2018-07-09 23:44:22
50,A 30-year-old man reports pain and weakness in his right arm,,multiple-choice,0,0,2017-07-10 00:57:29,2017-07-10 00:57:29
51,A 13-year-old boy who plays multiple sports has had insidious-onset heel,,multiple-choice,0,0,2017-07-10 00:58:55,2017-12-27 23:43:20
53,A 26-year-old man reports a 2-week history,,multiple-choice,0,0,2017-07-10 01:00:19,2018-07-09 23:44:31
54,An 18-year-old man sustained a knife injury to his mid-back,,multiple-choice,0,0,2017-07-10 01:01:48,2017-07-10 01:01:48
55,In thoracolumbar fracture,,multiple-choice,0,0,2017-07-10 01:03:20,2017-12-27 23:42:53
56,Flexion injury in thoracolumbar,,multiple-choice,0,0,2017-07-10 01:04:43,2017-12-27 23:42:32
57,Vertebral compression fracture,,multiple-choice,0,0,2017-07-10 01:05:56,2017-07-10 01:05:56
58,Spondyloarthropathies,,multiple-choice,0,0,2017-07-10 01:07:26,2017-07-10 01:07:26
59,ankylosing spondylitis,,multiple-choice,0,0,2017-07-10 01:13:07,2018-07-09 23:44:38
60,discectomy in disc herniation,,multiple-choice,0,0,2017-07-10 01:16:03,2017-07-10 01:16:03
61,Regarding vertebroplasty in spinal osteoporotic fracture,,multiple-choice,0,0,2017-07-10 01:18:25,2017-07-10 01:18:25
62,Neurogenic claudication lumbar spinal stenosis,,multiple-choice,0,1,2017-07-10 01:20:16,2017-12-27 23:42:15
63,the herniated disc,,multiple-choice,0,0,2017-07-10 01:22:57,2017-07-10 01:22:57
64,"A healthy, active 72-year-old man tripped and fell",,multiple-choice,0,1,2017-07-10 01:25:29,2017-12-27 23:41:49
65,A 70-year-old woman who underwent total knee replacement,,multiple-choice,0,0,2017-07-10 01:28:01,2017-07-10 01:28:01
66,A 67-year-old man who underwent an uncomplicated hip arthroplasty,,multiple-choice,0,0,2017-07-10 01:29:37,2017-07-10 01:29:37
67,radiographs of a 25-year-old,,multiple-choice,0,0,2017-07-10 01:32:54,2017-07-10 01:32:54
68,An orthopaedic surgeon,,multiple-choice,0,0,2017-07-10 01:34:40,2018-07-09 23:44:46
