id,item_id,type,question,is_random,score,created_at,updated_at
6,4,multiple-choice,<p>Titanium and its alloys are unsuitable candidates for which of the following implant application?</p>,0,100,2017-07-09 21:54:22,2017-07-09 21:54:22
7,6,multiple-choice,<p>Why is tendon considered an anisotropic material?</p>,0,100,2017-07-09 22:19:45,2017-07-09 22:19:45
8,7,multiple-choice,"<p>Which of following changes to heart rate, blood pressure, and bulbocavernosus reflex is typical of spinal shock?</p>",0,100,2017-07-09 22:22:41,2017-07-09 22:22:41
9,8,multiple-choice,<p>What is the primary intracellular signaling mediator for bone morphogenic protein (BMP) activity ?</p>,0,100,2017-07-09 22:24:50,2017-07-09 22:24:50
10,9,multiple-choice,<p>Examination of an obese 3-year-old-girl reveals 30 degrees of unilateral genu varum. A radiographic of the involved leg with the patella forward in shown in the figure above. Management should consist of ?</p>,0,100,2017-07-09 22:25:39,2017-07-09 22:27:00
11,10,multiple-choice,<p>Immobilization of human tendons leads to what changes in structure and/or function?</p>,0,100,2017-07-09 22:28:45,2017-07-09 22:28:45
12,11,multiple-choice,"<p>A 12,5 year-old-boy reports intermittent knee pain and limping that interferes with his ability to participating in sport. He actively participates in football, basketball, and baseball. He denies any history of injury. Examination shows a full range of motion without effusion. Radiographs reveal an Osteochondritis dissecans (OCD) lesion on the lateral aspect of the medial femoral condyle. MRI scans are shows in the figure above. &nbsp;Initial treatment should consist of:</p>",0,100,2017-07-09 22:38:18,2017-07-09 22:38:18
13,12,multiple-choice,"<p>The figure above shows the radiograph of a 2-year-old child with marked genu varum and tibial bowing. Based on these findings, what is the best initial course of action?</p>",0,100,2017-07-09 22:41:52,2017-07-09 22:41:52
14,13,multiple-choice,<p>A 6-year-old boy with acute hematogenous osteomyelitis of the distal femur is being treated with intravenous antibiotics. The most expeditious method to determine the early success or failure of treatment is by serial evaluation of which of the following studies?</p>,0,100,2017-07-09 23:02:09,2017-07-09 23:02:09
15,14,multiple-choice,"<p>A nonambulatory verbal 6-year-old child with spastic quadriplegic cerebral palsy has a progressive bilateral hip subluxation of more than 50%. There is no pain with range of motion, but abduction is limited to 20 degrees maximum. &nbsp;An AP radiograph is seen above. Management should consist of:</p>",0,100,2017-07-09 23:04:07,2017-07-09 23:04:07
16,15,multiple-choice,<p>A 37-year-old man pulled his hamstring playing softball 3 weeks ago. The patient had not noted any mass prior to his injury. MRI scans of the posterior thigh and biopsy specimen from a needle biopsy are shown in figures above. What is the most likely diagnosis?</p>,0,100,2017-07-09 23:10:21,2017-07-09 23:10:21
17,16,multiple-choice,<p>A 13-year-old boy has a painless &quot;knot&quot; over his left hip. History reveals that he injured his left hip playing soccer 4 months ago. A radiograph and MRI scan obtained at the time of injury are shown in the figure above. He is very active and is currently asymptomatic. A current radiograph is also shown in figures above. What is the next most appropriate step in management?</p>,0,100,2017-07-09 23:12:10,2017-07-09 23:12:10
18,17,multiple-choice,"<p>A 17-year-old girl who initially presented during childhood with multiple skeletal lesion, cafe-au-lait spots, and precocious puberty now has bone pain. &nbsp;A recent bone scan reveals multiple areas of increased scintigraphic uptake, including bilateral proximal femurs. A radiograph is shown in the figure above. &nbsp;In addition to activity modification, what is the best next line of treatment for decreasing her pain?</p>",0,100,2017-07-09 23:16:01,2017-07-09 23:16:01
19,18,multiple-choice,<p>What are the four most common soft-tissue sarcomas to spread via lymph node system?</p>,0,100,2017-07-09 23:18:40,2017-07-09 23:18:40
20,19,multiple-choice,"<p>A 13-year-old boy has knee pain after sustaining a mild twisting injury while playing basketball 4 weeks ago. Radiographs, MRI scans, and histology sections are shown in figures above. Treatment should consist of:</p>",0,100,2017-07-09 23:20:14,2017-07-09 23:20:14
21,20,multiple-choice,"<p>A 64-year-old man has had increasing pain in the left hip for the past 6 months. A radiograph, MRI scan, and biopsy specimens are shown in figures above. What is the recommended treatment?</p>",0,100,2017-07-09 23:27:00,2017-07-09 23:27:00
22,21,multiple-choice,<p>Figures above show the radiograph and MRI scan of a 22-year-old man with knee pain. What is the most likely diagnosis?</p>,0,100,2017-07-09 23:40:25,2017-07-09 23:40:25
23,22,multiple-choice,<p>Which of the following is the most associated with local recurrence of the lesion seen in the radiograph and MRI scan shown in figures above?</p>,0,100,2017-07-09 23:44:14,2017-07-09 23:44:14
24,23,multiple-choice,<p>A 33-year-old woman reports a mass on the right hand that has been enlarging for 1 year. An intraoperative photograph and histology section is shown in figures above. What is the most likely diagnosis?</p>,0,100,2017-07-09 23:47:37,2017-07-09 23:47:37
25,24,multiple-choice,<p>A 15-year-old girl had a painful mass on the medial aspect of her thigh for the past 5 years. The pain is present only when she is performing athletic activities and is completely relieved with rest. &nbsp;A radiograph and MRI scan are shown in figures above. The patient and her parents would like to have the mass removed. What is the further diagnostic studies are required prior to considering surgical resection?</p>,0,100,2017-07-09 23:52:13,2017-07-09 23:52:13
26,25,multiple-choice,"<p>In patients with displaced radial neck fractures treated with open reduction and internal fixation with a plate and screws, the plate must be limited to what surface of the radius to avoid impingement on proximal ulna?</p>",0,100,2017-07-09 23:54:30,2017-07-09 23:54:30
27,26,multiple-choice,"<p>When harvesting an iliac crest bone graft from a posterior approach, what anatomic structures are at greatest risk for injury if a Cobb elevator is directed too caudal?</p>",0,100,2017-07-09 23:55:50,2017-07-09 23:55:50
28,27,multiple-choice,<p>A 36-year-old woman sustained a tarsometatarsal joint fracture-dislocation in a motor vehicle accident. The patient is treated with open reduction and internal fixation. What is the most common complication?</p>,0,100,2017-07-09 23:57:16,2017-07-09 23:57:16
29,28,multiple-choice,<p>What is the most appropriate indication for replantation in an otherwise healthy 35-year-old man?</p>,0,100,2017-07-09 23:58:48,2017-07-09 23:58:48
30,29,multiple-choice,"<p>A 46-year-old man fell 20 feet and sustained the injury shown in the figure above. The injury is closed; however, the soft tissue is swollen and ecchymotic with blisters. The most appropriate initial management should consist of:</p>",0,100,2017-07-10 00:00:34,2017-07-10 00:00:34
31,30,multiple-choice,<p>A 20-year-old man sustained a closed tibial fracture and is treated with a reamed intramedullary nail. What is the most common complication associated with this treatment?</p>,0,100,2017-07-10 00:02:01,2017-07-10 00:02:01
32,31,multiple-choice,<p>An active 49-year-old woman who sustained a diaphyseal fracture of the clavicle 8 months ago now reports persistent shoulder pain with daily activities. An AP radiograph is shown in the figure above. Management should consist of:</p>,0,100,2017-07-10 00:03:31,2017-07-10 00:03:31
33,32,multiple-choice,"<p>Examination of a 25-year-old man who was injured in a motor vehicle accident reveals a fracture dislocation of C5-6 with a Frankel B spinal cord injury. He also has a closed femoral shaft fracture and a grade II open ipsilateral midshaft tibial fracture. Assessment of his vital signs reveals a pulse rate of 45/ min, blood pressure of 80/45 mmHg, and respiration of 25/min. A general surgeon has assessed the abdomen and peritoneal lavage results are negative. His clinical presentation is most consistent with what type of shock?</p>",0,100,2017-07-10 00:05:00,2017-07-10 00:05:00
34,33,multiple-choice,<p>Figures above shown the initial radiograph of an 18-year-old man who fell while snowboarding. He was treated with a closed reduction that shown in figures above also. Examination reveals that the elbow is stable with a range of motion. Management should consist of:</p>,0,100,2017-07-10 00:06:36,2017-07-10 00:06:36
35,34,multiple-choice,<p>Which is the following is an advantage of un-reamed nailing of the tibia compared to reamed nailing?</p>,0,100,2017-07-10 00:09:48,2017-07-10 00:09:48
36,35,multiple-choice,<p>What is the major difference in outcome following open reduction and internal fixation (ORIF) of the tibial plafond at 2 to 5 days versus 10-20 days?</p>,0,100,2017-07-10 00:11:19,2017-07-10 00:11:19
37,36,multiple-choice,<p>The figure above shows the radiograph pf an elderly man who fell on his right arm. What is the most important determinate of a good outcome following this injury?</p>,0,100,2017-07-10 00:13:05,2017-07-10 00:31:26
38,37,multiple-choice,<p>What measure of physiologic status best evaluates whether an injured patient is fully resuscitated and best predicts that perioperative complication will be minimized following definitive stabilization of long bone fractures?</p>,0,100,2017-07-10 00:35:05,2017-07-10 00:35:05
39,38,multiple-choice,<p>An adult with distal humeral fracture underwent open reduction and internal fixation. What is the most common preoperative complication?</p>,0,100,2017-07-10 00:37:06,2017-07-10 00:37:06
40,39,multiple-choice,"<p>A 35-year-old man is brought to the emergency department following a motorcycle accident. He is breathing spontaneously and has a systolic blood pressure of 80 mmHg. a pulse rate of 120/min, and a temperature of 37 Celcius degrees. Examination suggests an unstable pelvic fracture; AP radiographs confirm an open book injury with vertical displacement on the left side. Ultrasound evaluation of the abdomen is negative. Despite administration of 4 L of normal saline solution, he still has a systolic pressure of 90 mmHg and a pulse rate of 110. Urine output has been about 20 mL, since arrival 35 minutes ago. What is the best next course of action?</p>",0,100,2017-07-10 00:39:06,2017-07-10 00:39:06
41,40,multiple-choice,<p>A 42-year-old woman sustained a closed talar neck fracture in a motor vehicle accident. Which of the following is an avoidable complication of surgical treatment?</p>,0,100,2017-07-10 00:41:16,2017-07-10 00:41:16
42,41,multiple-choice,"<p>A 25-year-old man is brought to the emergency department following a motor vehicle accident. Extrication time was 2 hours, and in the field, he had a systolic blood pressure by palpation of 90 mmHg. Intravenous therapy was started, and on arrival to the emergency department his systolic blood pressure is 90 mmHg with a pulse rate of 130. Examination reveals a flail chest and a femoral diaphyseal fracture. Ultrasound of the abdomen is positive. The trauma surgeons take him to the operating room for an exploratory laparotomy. At the conclusion of the procedure, systolic pressure of 100 mmHg with a pulse rate of 110. Oxygen saturation is 90% on 100% oxygen, and the patient&#39;s temperature is 35 Celcius degrees. What is the recommended treatment of the femoral fracture at this time?</p>",0,100,2017-07-10 00:42:52,2017-07-10 00:42:52
43,42,multiple-choice,<p>A 9-year-old child sustains a proximal tibial physeal fracture with a hyperextension mechanism. What structure is at most risk for serious injury?</p>,0,100,2017-07-10 00:44:22,2017-07-10 00:44:22
44,43,multiple-choice,"<p>An 8-year-old girl has treated for a Salter-harris typeI fracture of the right distal femur 2 years ago. Examination reveals symmetric knee flexion, extension, and frontal alignment compared to the contralateral knee. She has 1 cm shortening of the right femur. History reveals that she has always been in the 50th percentile for height, and her skeletal age matches her chronological age. Radiograph is shown in the figure above. What is the expected consequence at maturity?</p>",0,100,2017-07-10 00:45:56,2017-07-10 00:45:56
45,44,multiple-choice,<p>Late surgical treatment of posttraumatic cubitus varus (gunstock deformity) is usually necessitated by the patient reporting problems related to:</p>,0,100,2017-07-10 00:48:51,2017-07-10 00:48:51
46,45,multiple-choice,"<p>In obstetric brachial plexus palsy, which of the following signs are associated with the poorer prognosis for recovery in a 2-month-old-infant?</p>",0,100,2017-07-10 00:50:39,2017-07-10 00:50:39
47,46,multiple-choice,<p>Split posterior tibial tendon transfer is used in the treatment of children with cerebral palsy. Which of the following patients is considered the most appropriate candidate for this procedure?</p>,0,100,2017-07-10 00:52:08,2017-07-10 00:52:08
