id,question_id,answer,is_correct_answer,created_at,updated_at
6,6,<p>Fracture plates</p>,0,2017-07-09 21:54:22,2017-07-09 21:54:22
7,6,<p>Femoral heads in a hip prosthesis</p>,1,2017-07-09 21:54:22,2017-07-09 21:54:22
8,6,<p>Bone screws</p>,0,2017-07-09 21:54:22,2017-07-09 21:54:22
9,6,<p>Intramedullary nails</p>,0,2017-07-09 21:54:22,2017-07-09 21:54:22
10,6,<p>Porous coatings for bone ingrowth</p>,0,2017-07-09 21:54:22,2017-07-09 21:54:22
11,7,<p>Young modulus is greater than that of bone</p>,0,2017-07-09 22:19:45,2017-07-09 22:19:45
12,7,<p>Young modulus is greater than that of ligament</p>,0,2017-07-09 22:19:45,2017-07-09 22:19:45
13,7,<p>Mechanical properties change with preconditioning</p>,0,2017-07-09 22:19:45,2017-07-09 22:19:45
14,7,<p>Intrinsic mechanical properties very depending on the direction of loading</p>,1,2017-07-09 22:19:45,2017-07-09 22:19:45
15,7,<p>Intrinsic mechanical properties vary depending on the rate of loading</p>,0,2017-07-09 22:19:45,2017-07-09 22:19:45
16,8,"<p>Tachycardia, hypertension, intact bulbocavernosus reflex</p>",0,2017-07-09 22:22:41,2017-07-09 22:22:41
17,8,"<p>Tachycardia, hypotension, intact bulbocavernosus reflex</p>",0,2017-07-09 22:22:41,2017-07-09 22:22:41
18,8,"<p>Tachycardia, hypotension, absent bulbocavernosus reflex</p>",0,2017-07-09 22:22:41,2017-07-09 22:22:41
19,8,"<p>Bradycardia, hypotension, absent bulbocavernosus reflex</p>",1,2017-07-09 22:22:41,2017-07-09 22:22:41
20,8,"<p>Bradycardia, hyperthermia, intact bulbocavernosus reflex</p>",0,2017-07-09 22:22:41,2017-07-09 22:22:41
21,9,<p>Interleukin-1 (IL-1)</p>,0,2017-07-09 22:24:50,2017-07-09 22:24:50
22,9,<p>Runx-2</p>,0,2017-07-09 22:24:50,2017-07-09 22:24:50
23,9,<p>NFK-B</p>,0,2017-07-09 22:24:50,2017-07-09 22:24:50
24,9,<p>SMADs</p>,1,2017-07-09 22:24:50,2017-07-09 22:24:50
25,9,<p>P53</p>,0,2017-07-09 22:24:50,2017-07-09 22:24:50
26,10,<p>Continued observation until skeletal maturity</p>,0,2017-07-09 22:25:39,2017-07-09 22:27:00
27,10,<p>Fitting for a valgus-producing hinged knee-ankle-foot orthosis</p>,0,2017-07-09 22:27:00,2017-07-09 22:27:00
28,10,<p>Lateral proximal tibia Hemi epiphysiodesis</p>,0,2017-07-09 22:27:00,2017-07-09 22:27:00
29,10,<p>Proximal tibiofibular osteotomy and acute correction</p>,1,2017-07-09 22:27:00,2017-07-09 22:27:00
30,10,<p>Proximal tibiofibular epiphysiodesis and osteotomy with lengthening</p>,0,2017-07-09 22:27:00,2017-07-09 22:27:00
31,11,<p>Decrease in tensile strength</p>,1,2017-07-09 22:28:45,2017-07-09 22:28:45
32,11,<p>Decrease in the likelihood of rupture</p>,0,2017-07-09 22:28:45,2017-07-09 22:28:45
33,11,<p>Increase in cellularity</p>,0,2017-07-09 22:28:45,2017-07-09 22:28:45
34,11,<p>Increase in aggrecan</p>,0,2017-07-09 22:28:45,2017-07-09 22:28:45
35,11,<p>Increase in collagen fibril diameter</p>,0,2017-07-09 22:28:45,2017-07-09 22:28:45
36,12,<p>Immobilization</p>,1,2017-07-09 22:38:18,2017-07-09 22:38:18
37,12,<p>Arthroscopic evaluation of fragment stability</p>,0,2017-07-09 22:38:18,2017-07-09 22:38:18
38,12,"<p>Transarticular drilling of the lesion with a 0,045 Kirschner wire</p>",0,2017-07-09 22:38:18,2017-07-09 22:38:18
39,12,<p>Arthroscopic excision of the fragment and microfracture of underlying cancellous bone</p>,0,2017-07-09 22:38:18,2017-07-09 22:38:18
40,12,<p>Excision of the fragment and mosaicplasty</p>,0,2017-07-09 22:38:18,2017-07-09 22:38:18
41,13,"<p>Obtain serum phosphorous, calcium, and alkaline phosphatase levels</p>",1,2017-07-09 22:41:52,2017-07-09 22:41:52
42,13,<p>Obtain a scanogram to assess for limb-length discrepancy</p>,0,2017-07-09 22:41:52,2017-07-09 22:41:52
43,13,<p>Perform bilateral valgus osteotomies to correct the deformities</p>,0,2017-07-09 22:41:52,2017-07-09 22:41:52
44,13,<p>Measure the child for a varus prevention orthosis</p>,0,2017-07-09 22:41:52,2017-07-09 22:41:52
45,13,<p>Educate the family about physiologic genu varum and conduct a follow-up examination in 6 months</p>,0,2017-07-09 22:41:52,2017-07-09 22:41:52
46,14,<p>Complete blood count with differential</p>,0,2017-07-09 23:02:09,2017-07-09 23:02:09
47,14,<p>MRI</p>,0,2017-07-09 23:02:09,2017-07-09 23:02:09
48,14,<p>CT</p>,0,2017-07-09 23:02:09,2017-07-09 23:02:09
49,14,<p>Radiograph</p>,0,2017-07-09 23:02:09,2017-07-09 23:02:09
50,14,<p>C-reactive protein (CRP)</p>,1,2017-07-09 23:02:09,2017-07-09 23:02:09
51,15,<p>Percutaneous bilateral adductor tenotomy</p>,0,2017-07-09 23:04:07,2017-07-09 23:04:07
52,15,<p>Oral baclofen</p>,0,2017-07-09 23:04:07,2017-07-09 23:04:07
53,15,<p>Phenol injection into the obturator nerve</p>,0,2017-07-09 23:04:07,2017-07-09 23:04:07
54,15,<p>Open adductor tenotomy with neurectomy of anterior branch of the obturator nerve</p>,0,2017-07-09 23:04:07,2017-07-09 23:04:07
55,15,<p>Open adductor tenotomy with release of the iliopsoas and bilateral proximal femoral varus derotation osteotomy</p>,1,2017-07-09 23:04:07,2017-07-09 23:04:07
56,16,<p>Intramuscular hematoma</p>,0,2017-07-09 23:10:21,2017-07-09 23:10:21
57,16,<p>Lipoma</p>,0,2017-07-09 23:10:21,2017-07-09 23:10:21
58,16,<p>Myositis ossificans</p>,0,2017-07-09 23:10:21,2017-07-09 23:10:21
59,16,<p>Malignant fibrous histiocytoma</p>,1,2017-07-09 23:10:21,2017-07-09 23:10:21
60,16,<p>Liposarcoma</p>,0,2017-07-09 23:10:21,2017-07-09 23:10:21
61,17,<p>Observation</p>,1,2017-07-09 23:12:10,2017-07-09 23:12:10
62,17,<p>Anti-inflammatory medication</p>,0,2017-07-09 23:12:10,2017-07-09 23:12:10
63,17,<p>Referral to a rheumatologist</p>,0,2017-07-09 23:12:10,2017-07-09 23:12:10
64,17,<p>Biopsy</p>,0,2017-07-09 23:12:10,2017-07-09 23:12:10
65,17,<p>Resection of the lesion</p>,0,2017-07-09 23:12:10,2017-07-09 23:12:10
66,18,<p>Bisphosphonates</p>,1,2017-07-09 23:16:01,2017-07-09 23:16:01
67,18,<p>Calcitonin</p>,0,2017-07-09 23:16:01,2017-07-09 23:16:01
68,18,<p>Parathyroid hormone</p>,0,2017-07-09 23:16:01,2017-07-09 23:16:01
69,18,<p>Vitamin D and calcium</p>,0,2017-07-09 23:16:01,2017-07-09 23:16:01
70,18,<p>Methotrexate</p>,0,2017-07-09 23:16:01,2017-07-09 23:16:01
71,19,"<p>Rhabdomyosarcoma, malignant fibrous histiocytoma, epitheloid sarcoma, clear cell sarcoma</p>",0,2017-07-09 23:18:40,2017-07-09 23:18:40
72,19,"<p>Malignat fibrous hystiocytoma, synovial sarcoma, clear cell sarcoma, epitheloid sarcoma</p>",0,2017-07-09 23:18:40,2017-07-09 23:18:40
73,19,"<p>Liposarcoma, rhabdomyosarcoma, synovial sarcoma, clear cell sarcoma</p>",0,2017-07-09 23:18:40,2017-07-09 23:18:40
74,19,"<p>Rhabdomyosarcoma, clear cell sarcoma, epitheloid sarcoma, synovial sarcoma</p>",1,2017-07-09 23:18:40,2017-07-09 23:18:40
75,19,"<p>Liposarcoma, clear cell sarcoma, rhabdomyosarcoma, epitheloid sarcoma</p>",0,2017-07-09 23:18:40,2017-07-09 23:18:40
76,20,<p>Neoadjuvant chemotherapy followed by surgical resection and reconstruction</p>,1,2017-07-09 23:20:14,2017-07-09 23:20:14
77,20,<p>Chemotherapy followed by radiation therapy</p>,0,2017-07-09 23:20:14,2017-07-09 23:20:14
78,20,"<p>Intravenous antibiotics for 4 weeks, followed by oral antibiotics for 4 weeks</p>",0,2017-07-09 23:20:14,2017-07-09 23:20:14
79,20,<p>Surgical resection and reconstruction followed by chemotherapy</p>,0,2017-07-09 23:20:14,2017-07-09 23:20:14
80,20,<p>Radiation therapy alone</p>,0,2017-07-09 23:20:14,2017-07-09 23:20:14
81,21,<p>Chemotherapy and internal hemipelvectomy</p>,0,2017-07-09 23:27:00,2017-07-09 23:27:00
82,21,<p>Chemotherapy and hindquarter amputation</p>,0,2017-07-09 23:27:00,2017-07-09 23:27:00
83,21,<p>Radiation therapy and internal hemipelvectomy</p>,0,2017-07-09 23:27:00,2017-07-09 23:27:00
84,21,<p>Radiation therapy and hindquarter amputation</p>,0,2017-07-09 23:27:00,2017-07-09 23:27:00
85,21,<p>Hindquarter amputation or internal hemipelvectomy</p>,1,2017-07-09 23:27:00,2017-07-09 23:27:00
