id,role_id,user_id,granted,created_at,updated_at
1,1,1,1,2017-07-11 13:54:24,2017-07-11 13:54:24
2,1,2,1,2017-07-11 22:22:21,2017-07-11 22:22:21
3,1,3,1,2017-07-11 22:32:33,2017-07-11 22:32:33
9,2,9,1,2017-07-11 22:47:23,2017-07-11 22:47:23
13,2,13,1,2017-07-12 02:29:37,2017-07-12 02:29:37
16,1,16,1,2017-07-12 12:30:25,2017-07-12 12:30:25
17,2,14,1,2017-07-31 21:16:08,2017-07-31 21:16:08
18,2,15,1,2017-12-26 10:14:15,2017-12-26 10:14:15
19,1,13,1,2017-12-26 10:14:36,2017-12-26 10:14:36
20,2,16,1,2017-12-26 10:14:48,2017-12-26 10:14:48
21,2,12,1,2017-12-26 10:15:24,2017-12-26 10:15:24
22,2,11,1,2017-12-26 10:15:44,2017-12-26 10:15:44
23,2,3,1,2017-12-26 10:15:56,2017-12-26 10:15:56
24,1,17,1,2017-12-27 20:30:07,2017-12-27 20:30:07
25,2,7,1,2017-12-28 01:02:10,2017-12-28 01:02:10
26,2,6,1,2017-12-28 01:04:01,2017-12-28 01:04:01
27,2,18,1,2017-12-28 01:06:09,2017-12-28 01:06:09
28,2,19,1,2017-12-28 01:08:07,2017-12-28 01:08:07
29,2,20,1,2017-12-28 01:09:15,2017-12-28 01:09:15
30,2,21,1,2017-12-28 01:10:05,2017-12-28 01:10:05
31,2,22,1,2017-12-28 01:11:30,2017-12-28 01:11:30
32,2,23,1,2017-12-28 01:12:34,2017-12-28 01:12:34
33,2,24,1,2017-12-28 01:14:54,2017-12-28 01:14:54
34,2,25,1,2017-12-28 01:16:49,2017-12-28 01:16:49
35,2,26,1,2017-12-28 01:21:50,2017-12-28 01:21:50
36,2,27,1,2017-12-28 01:22:28,2017-12-28 01:22:28
37,2,28,1,2017-12-28 01:28:45,2017-12-28 01:28:45
38,2,29,1,2017-12-28 01:29:30,2017-12-28 01:29:30
39,2,30,1,2017-12-28 01:30:20,2017-12-28 01:30:20
40,2,8,1,2017-12-28 01:31:28,2017-12-28 01:31:28
41,2,31,1,2018-01-03 23:41:01,2018-01-03 23:41:01
42,2,32,1,2018-01-04 07:22:55,2018-01-04 07:22:55
43,2,33,1,2018-07-10 07:44:40,2018-07-10 07:44:40
44,2,34,1,2018-07-10 07:53:40,2018-07-10 07:53:40
45,2,35,1,2018-07-10 10:55:59,2018-07-10 10:55:59
46,2,36,1,2018-07-10 16:04:11,2018-07-10 16:04:11
47,2,37,1,2018-07-10 16:05:08,2018-07-10 16:05:08
48,2,38,1,2018-07-10 16:07:58,2018-07-10 16:07:58
49,2,39,1,2018-07-18 10:56:43,2018-07-18 10:56:43
50,2,40,1,2019-05-29 10:32:09,2019-05-29 10:32:09
51,2,41,1,2019-11-05 08:25:39,2019-11-05 08:25:39
52,2,42,1,2019-11-05 08:35:55,2019-11-05 08:35:55
53,2,43,1,2019-11-13 10:52:57,2019-11-13 10:52:57
54,2,44,1,2020-05-05 06:13:06,2020-05-05 06:13:06
55,2,45,1,2020-05-05 06:16:29,2020-05-05 06:16:29
56,2,46,1,2020-05-05 09:14:30,2020-05-05 09:14:30
57,1,14,1,2020-05-05 09:27:07,2020-05-05 09:27:07
58,2,47,1,2020-05-05 09:28:25,2020-05-05 09:28:25
59,2,48,1,2020-05-05 09:30:42,2020-05-05 09:30:42
60,2,49,1,2020-11-17 20:41:36,2020-11-17 20:41:36
61,2,50,1,2020-11-17 20:50:38,2020-11-17 20:50:38
